Title,Description,Author,Rating,Num Ratings,Price,Language,Length,Cover Image,URL
The First Peacemaker,"The First Peacemaker, Book 1",J.N. Chaney,,Not rated yet,$33.90,"Language:
                                      English",13 hrs,https://m.media-amazon.com/images/I/512V-750j4L._SL500_.jpg,https://www.audible.com/pd/The-First-Peacemaker-Audiobook/B0F5SDV48N?qid=1746651088&sr=1-24&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_24
A Court of Frost and Starlight (10th Anniversary Recording),"A Court of Thorns and Roses, Book 4",Sarah J. Maas,,Not rated yet,$20.00,"Language:
                                      English",6 hrs and 5 mins,https://m.media-amazon.com/images/I/51y2FRhHC+L._SL500_.jpg,https://www.audible.com/pd/A-Court-of-Frost-and-Starlight-10th-Anniversary-Recording-Audiobook/B0F6NWCKL7?qid=1746651088&sr=1-25&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_25
He Who Fights with Monsters 12: A LitRPG Adventure,"He Who Fights with Monsters, Book 12",Shirtaloon,,Not rated yet,$54.99,"Language:
                                      English",19 hrs and 26 mins,https://m.media-amazon.com/images/I/514RAoV-CrL._SL500_.jpg,https://www.audible.com/pd/He-Who-Fights-with-Monsters-12-A-LitRPG-Adventure-Audiobook/B0DWZYWQTB?qid=1746651088&sr=1-26&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_26
Isles of the Emberdark,"A Cosmere Novel Secret Projects, Book 5",Brandon Sanderson,,Not rated yet,$14.69,"Language:
                                      English",16 hrs and 51 mins,https://m.media-amazon.com/images/I/61cDYHWgzBL._SL500_.jpg,https://www.audible.com/pd/Isles-of-the-Emberdark-Audiobook/B0F4RQQC4N?qid=1746651088&sr=1-28&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_28
Protector of the Grove: An Apocalypse LitRPG,"Path of Dragons, Book 1",Nicholas Searcy,5 out of 5 stars,5 ratings,$54.99,"Language:
                                      English",20 hrs and 7 mins,https://m.media-amazon.com/images/I/51fYMDvy0HL._SL500_.jpg,https://www.audible.com/pd/Protector-of-the-Grove-An-Apocalypse-LitRPG-Audiobook/B0F3G2KKJQ?qid=1746651088&sr=1-29&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_29
A Brief History of Chronomancy,"Arcane Ascension, Book 6",Andrew Rowe,,Not rated yet,$33.90,"Language:
                                      English",15 hrs and 14 mins,https://m.media-amazon.com/images/I/516zFhQYadL._SL500_.jpg,https://www.audible.com/pd/A-Brief-History-of-Chronomancy-Audiobook/B0F15GBHXM?qid=1746651088&sr=1-32&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_32
Twelve Months,"Dresden Files, Book 18",Jim Butcher,,Not rated yet,$24.30,"Language:
                                      English",15 hrs,https://m.media-amazon.com/images/I/21aYTJx9ZyL._SL500_.jpg,https://www.audible.com/pd/Twelve-Months-Audiobook/B0F2JQYGVG?qid=1746651088&sr=1-33&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_33
My Quiet Blacksmith Life in Another World: Volume 7,"My Quiet Blacksmith Life in Another World, Book 7",Tamamaru,,Not rated yet,$33.90,"Language:
                                      English",8 hrs and 23 mins,https://m.media-amazon.com/images/I/519TAOk26fL._SL500_.jpg,https://www.audible.com/pd/My-Quiet-Blacksmith-Life-in-Another-World-Volume-7-Audiobook/B0F6PMXCVH?qid=1746651088&sr=1-34&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_34
A Darkness So Sweet,"The Kingdom Below, Book 1",Emma Hamm,4.5 out of 5 stars,5 ratings,$33.90,"Language:
                                      English",13 hrs and 13 mins,https://m.media-amazon.com/images/I/51u6E66vXHL._SL500_.jpg,https://www.audible.com/pd/A-Darkness-So-Sweet-Audiobook/B0F39TGFVX?qid=1746651088&sr=1-35&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_35
A Court of Silver Flames (10th Anniversary Recording),"A Court of Thorns and Roses, Book 5",Sarah J. Maas,,Not rated yet,$38.00,"Language:
                                      English",22 hrs and 55 mins,https://m.media-amazon.com/images/I/513fclT2FsL._SL500_.jpg,https://www.audible.com/pd/A-Court-of-Silver-Flames-10th-Anniversary-Recording-Audiobook/B0F6NTH592?qid=1746651088&sr=1-36&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_36
Fairydale,A Dark Gothic Fantasy Romance,Veronica Lancet,,Not rated yet,$29.99,"Language:
                                      English",31 hrs and 36 mins,https://m.media-amazon.com/images/I/41jCu3q2K2L._SL500_.jpg,https://www.audible.com/pd/Fairydale-Audiobook/B0F3K8R2XY?qid=1746651088&sr=1-37&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_37
Hidden Agendas,"The Alastair Stone Chronicles, Book 38",R. L. King,,Not rated yet,$24.95,"Language:
                                      English",13 hrs and 10 mins,https://m.media-amazon.com/images/I/51l7qE9qk1L._SL500_.jpg,https://www.audible.com/pd/Hidden-Agendas-Audiobook/B0F7M4PZTG?qid=1746651088&sr=1-38&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_38
On Wings of Blood,"Bloodwing Academy, Book 1",Briar Boleyn,,Not rated yet,$49.90,"Language:
                                      English",19 hrs and 14 mins,https://m.media-amazon.com/images/I/517utQANhaL._SL500_.jpg,https://www.audible.com/pd/On-Wings-of-Blood-Audiobook/B0DYPN5LRF?qid=1746651088&sr=1-39&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_39
Installment Immortality,"An InCryptid Novel, Book 14",Seanan McGuire,,Not rated yet,$20.24,"Language:
                                      English",14 hrs,https://m.media-amazon.com/images/I/515+W9KX3FL._SL500_.jpg,https://www.audible.com/pd/Installment-Immortality-Audiobook/B0F6YZHLTY?qid=1746651088&sr=1-40&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_40
